LOCATION,Country,TIME,Date,Time,Value
NZL,New Zealand,2017-Q1,Jan-17,Q1-2017,71.60679
NZL,New Zealand,2017-Q2,Apr-17,Q2-2017,71.37832
NZL,New Zealand,2017-Q3,Jul-17,Q3-2017,72.2776
NZL,New Zealand,2017-Q4,Oct-17,Q4-2017,72.84715
NZL,New Zealand,2018-Q1,Jan-18,Q1-2018,72.86614
NZL,New Zealand,2018-Q2,Apr-18,Q2-2018,73.12364
NZL,New Zealand,2018-Q3,Jul-18,Q3-2018,73.67206
NZL,New Zealand,2018-Q4,Oct-18,Q4-2018,72.39038
NZL,New Zealand,2019-Q1,Jan-19,Q1-2019,73.19396
NZL,New Zealand,2019-Q2,Apr-19,Q2-2019,73.43806
NZL,New Zealand,2019-Q3,Jul-19,Q3-2019,73.11435
NZL,New Zealand,2019-Q4,Oct-19,Q4-2019,72.9767
NZL,New Zealand,2020-Q1,Jan-20,Q1-2020,73.1212
NZL,New Zealand,2020-Q2,Apr-20,Q2-2020,72.20883
NZL,New Zealand,2020-Q3,Jul-20,Q3-2020,71.33308
NZL,New Zealand,2020-Q4,Oct-20,Q4-2020,71.91509
NZL,New Zealand,2021-Q1,Jan-21,Q1-2021,72.7672
NZL,New Zealand,2021-Q2,Apr-21,Q2-2021,73.5404
NZL,New Zealand,2021-Q3,Oct-21,Q3-2021,75.53407
NZL,New Zealand,2017-Q1,Jan-17,Q1-2017,81.8442
NZL,New Zealand,2017-Q2,Apr-17,Q2-2017,81.39269
NZL,New Zealand,2017-Q3,Jul-17,Q3-2017,82.05334
NZL,New Zealand,2017-Q4,Oct-17,Q4-2017,82.33287
NZL,New Zealand,2018-Q1,Jan-18,Q1-2018,82.06846
NZL,New Zealand,2018-Q2,Apr-18,Q2-2018,82.21619
NZL,New Zealand,2018-Q3,Jul-18,Q3-2018,82.14706
NZL,New Zealand,2018-Q4,Oct-18,Q4-2018,81.73447
NZL,New Zealand,2019-Q1,Jan-19,Q1-2019,81.618
NZL,New Zealand,2019-Q2,Apr-19,Q2-2019,81.82317
NZL,New Zealand,2019-Q3,Jul-19,Q3-2019,81.94453
NZL,New Zealand,2019-Q4,Oct-19,Q4-2019,81.77858
NZL,New Zealand,2020-Q1,Jan-20,Q1-2020,82.31446
NZL,New Zealand,2020-Q2,Apr-20,Q2-2020,81.48721
NZL,New Zealand,2020-Q3,Jul-20,Q3-2020,80.8375
NZL,New Zealand,2020-Q4,Oct-20,Q4-2020,81.17181
NZL,New Zealand,2021-Q1,Jan-21,Q1-2021,81.63301
NZL,New Zealand,2021-Q2,Apr-21,Q2-2021,82.23149
NZL,New Zealand,2021-Q3,Oct-21,Q3-2021,82.64153
NZL,New Zealand,2017-Q1,Jan-17,Q1-2017,76.67326
NZL,New Zealand,2017-Q2,Apr-17,Q2-2017,76.32724
NZL,New Zealand,2017-Q3,Jul-17,Q3-2017,77.1189
NZL,New Zealand,2017-Q4,Oct-17,Q4-2017,77.54889
NZL,New Zealand,2018-Q1,Jan-18,Q1-2018,77.43276
NZL,New Zealand,2018-Q2,Apr-18,Q2-2018,77.63275
NZL,New Zealand,2018-Q3,Jul-18,Q3-2018,77.88473
NZL,New Zealand,2018-Q4,Oct-18,Q4-2018,77.02812
NZL,New Zealand,2019-Q1,Jan-19,Q1-2019,77.38028
NZL,New Zealand,2019-Q2,Apr-19,Q2-2019,77.60349
NZL,New Zealand,2019-Q3,Jul-19,Q3-2019,77.50352
NZL,New Zealand,2019-Q4,Oct-19,Q4-2019,77.35455
NZL,New Zealand,2020-Q1,Jan-20,Q1-2020,77.68947
NZL,New Zealand,2020-Q2,Apr-20,Q2-2020,76.82517
NZL,New Zealand,2020-Q3,Jul-20,Q3-2020,76.06368
NZL,New Zealand,2020-Q4,Oct-20,Q4-2020,76.52326
NZL,New Zealand,2021-Q1,Jan-21,Q1-2021,77.17107
NZL,New Zealand,2021-Q2,Apr-21,Q2-2021,77.86275
NZL,New Zealand,2021-Q3,Oct-21,Q3-2021,79.07188
GBR,United Kingdom,2017-Q1,Jan-17,Q1-2017,70.15733
GBR,United Kingdom,2017-Q2,Apr-17,Q2-2017,70.515
GBR,United Kingdom,2017-Q3,Jul-17,Q3-2017,70.62382
GBR,United Kingdom,2017-Q4,Oct-17,Q4-2017,70.76836
GBR,United Kingdom,2018-Q1,Jan-18,Q1-2018,71.15552
GBR,United Kingdom,2018-Q2,Apr-18,Q2-2018,71.04032
GBR,United Kingdom,2018-Q3,Jul-18,Q3-2018,71.06372
GBR,United Kingdom,2018-Q4,Oct-18,Q4-2018,71.39747
GBR,United Kingdom,2019-Q1,Jan-19,Q1-2019,71.84293
GBR,United Kingdom,2019-Q2,Apr-19,Q2-2019,72.11591
GBR,United Kingdom,2019-Q3,Jul-19,Q3-2019,71.82497
GBR,United Kingdom,2019-Q4,Oct-19,Q4-2019,72.41865
GBR,United Kingdom,2020-Q1,Jan-20,Q1-2020,72.49686
GBR,United Kingdom,2020-Q2,Apr-20,Q2-2020,71.90733
GBR,United Kingdom,2020-Q3,Jul-20,Q3-2020,71.72962
GBR,United Kingdom,2020-Q4,Oct-20,Q4-2020,71.46227
GBR,United Kingdom,2021-Q1,Jan-21,Q1-2021,71.6397
GBR,United Kingdom,2021-Q2,Apr-21,Q2-2021,71.96278
GBR,United Kingdom,2017-Q1,Jan-17,Q1-2017,79.43789
GBR,United Kingdom,2017-Q2,Apr-17,Q2-2017,79.75145
GBR,United Kingdom,2017-Q3,Jul-17,Q3-2017,79.44405
GBR,United Kingdom,2017-Q4,Oct-17,Q4-2017,79.6348
GBR,United Kingdom,2018-Q1,Jan-18,Q1-2018,80.01715
GBR,United Kingdom,2018-Q2,Apr-18,Q2-2018,80.10707
GBR,United Kingdom,2018-Q3,Jul-18,Q3-2018,80.08997
GBR,United Kingdom,2018-Q4,Oct-18,Q4-2018,80.31549
GBR,United Kingdom,2019-Q1,Jan-19,Q1-2019,80.31448
GBR,United Kingdom,2019-Q2,Apr-19,Q2-2019,80.12913
GBR,United Kingdom,2019-Q3,Jul-19,Q3-2019,80.31019
GBR,United Kingdom,2019-Q4,Oct-19,Q4-2019,80.56325
GBR,United Kingdom,2020-Q1,Jan-20,Q1-2020,80.16536
GBR,United Kingdom,2020-Q2,Apr-20,Q2-2020,79.62503
GBR,United Kingdom,2020-Q3,Jul-20,Q3-2020,78.36613
GBR,United Kingdom,2020-Q4,Oct-20,Q4-2020,77.87386
GBR,United Kingdom,2021-Q1,Jan-21,Q1-2021,77.83672
GBR,United Kingdom,2021-Q2,Apr-21,Q2-2021,78.20825
GBR,United Kingdom,2017-Q1,Jan-17,Q1-2017,74.76865
GBR,United Kingdom,2017-Q2,Apr-17,Q2-2017,75.10435
GBR,United Kingdom,2017-Q3,Jul-17,Q3-2017,75.0069
GBR,United Kingdom,2017-Q4,Oct-17,Q4-2017,75.17536
GBR,United Kingdom,2018-Q1,Jan-18,Q1-2018,75.56107
GBR,United Kingdom,2018-Q2,Apr-18,Q2-2018,75.5488
GBR,United Kingdom,2018-Q3,Jul-18,Q3-2018,75.55268
GBR,United Kingdom,2018-Q4,Oct-18,Q4-2018,75.83308
GBR,United Kingdom,2019-Q1,Jan-19,Q1-2019,76.05695
GBR,United Kingdom,2019-Q2,Apr-19,Q2-2019,76.10236
GBR,United Kingdom,2019-Q3,Jul-19,Q3-2019,76.04665
GBR,United Kingdom,2019-Q4,Oct-19,Q4-2019,76.4713
GBR,United Kingdom,2020-Q1,Jan-20,Q1-2020,76.313
GBR,United Kingdom,2020-Q2,Apr-20,Q2-2020,75.7484
GBR,United Kingdom,2020-Q3,Jul-20,Q3-2020,75.03289
GBR,United Kingdom,2020-Q4,Oct-20,Q4-2020,74.6539
GBR,United Kingdom,2021-Q1,Jan-21,Q1-2021,74.72482
GBR,United Kingdom,2021-Q2,Apr-21,Q2-2021,75.07231
USA,United States,2017-Q1,Jan-17,Q1-2017,64.65375
USA,United States,2017-Q2,Apr-17,Q2-2017,64.87174
USA,United States,2017-Q3,Jul-17,Q3-2017,65.15903
USA,United States,2017-Q4,Oct-17,Q4-2017,65.08504
USA,United States,2018-Q1,Jan-18,Q1-2018,65.18568
USA,United States,2018-Q2,Apr-18,Q2-2018,65.39878
USA,United States,2018-Q3,Jul-18,Q3-2018,65.65675
USA,United States,2018-Q4,Oct-18,Q4-2018,65.94493
USA,United States,2019-Q1,Jan-19,Q1-2019,66.02364
USA,United States,2019-Q2,Apr-19,Q2-2019,66.08146
USA,United States,2019-Q3,Jul-19,Q3-2019,66.43941
USA,United States,2019-Q4,Oct-19,Q4-2019,66.83025
USA,United States,2020-Q1,Jan-20,Q1-2020,66.59641
USA,United States,2020-Q2,Apr-20,Q2-2020,57.26404
USA,United States,2020-Q3,Jul-20,Q3-2020,61.6092
USA,United States,2020-Q4,Oct-20,Q4-2020,63.16771
USA,United States,2021-Q1,Jan-21,Q1-2021,63.69499
USA,United States,2021-Q2,Apr-21,Q2-2021,64.2503
USA,United States,2021-Q3,Oct-21,Q3-2021,64.99919
USA,United States,2017-Q1,Jan-17,Q1-2017,75.08699
USA,United States,2017-Q2,Apr-17,Q2-2017,75.43798
USA,United States,2017-Q3,Jul-17,Q3-2017,75.55609
USA,United States,2017-Q4,Oct-17,Q4-2017,75.64413
USA,United States,2018-Q1,Jan-18,Q1-2018,75.94305
USA,United States,2018-Q2,Apr-18,Q2-2018,76.07761
USA,United States,2018-Q3,Jul-18,Q3-2018,75.98444
USA,United States,2018-Q4,Oct-18,Q4-2018,76.13398
USA,United States,2019-Q1,Jan-19,Q1-2019,76.21858
USA,United States,2019-Q2,Apr-19,Q2-2019,76.45317
USA,United States,2019-Q3,Jul-19,Q3-2019,76.64658
USA,United States,2019-Q4,Oct-19,Q4-2019,76.64532
USA,United States,2020-Q1,Jan-20,Q1-2020,76.23415
USA,United States,2020-Q2,Apr-20,Q2-2020,67.77381
USA,United States,2020-Q3,Jul-20,Q3-2020,71.32508
USA,United States,2020-Q4,Oct-20,Q4-2020,72.72842
USA,United States,2021-Q1,Jan-21,Q1-2021,73.29268
USA,United States,2021-Q2,Apr-21,Q2-2021,73.7377
USA,United States,2021-Q3,Oct-21,Q3-2021,74.57763
USA,United States,2017-Q1,Jan-17,Q1-2017,69.79125
USA,United States,2017-Q2,Apr-17,Q2-2017,70.07066
USA,United States,2017-Q3,Jul-17,Q3-2017,70.27412
USA,United States,2017-Q4,Oct-17,Q4-2017,70.28349
USA,United States,2018-Q1,Jan-18,Q1-2018,70.4846
USA,United States,2018-Q2,Apr-18,Q2-2018,70.6565
USA,United States,2018-Q3,Jul-18,Q3-2018,70.74073
USA,United States,2018-Q4,Oct-18,Q4-2018,70.96515
USA,United States,2019-Q1,Jan-19,Q1-2019,71.05139
USA,United States,2019-Q2,Apr-19,Q2-2019,71.19324
USA,United States,2019-Q3,Jul-19,Q3-2019,71.4641
USA,United States,2019-Q4,Oct-19,Q4-2019,71.66215
USA,United States,2020-Q1,Jan-20,Q1-2020,71.34309
USA,United States,2020-Q2,Apr-20,Q2-2020,62.44691
USA,United States,2020-Q3,Jul-20,Q3-2020,66.40702
USA,United States,2020-Q4,Oct-20,Q4-2020,67.88194
USA,United States,2021-Q1,Jan-21,Q1-2021,68.42841
USA,United States,2021-Q2,Apr-21,Q2-2021,68.93141
USA,United States,2021-Q3,Oct-21,Q3-2021,69.71981
