Year,WorkingFromHome,Category
2011,31.2,Never
2012,31.4,Never
2013,31.6,Never
2014,31.7,Never
2015,31.8,Never
2016,31.9,Never
2017,31.6,Never
2018,31.8,Never
2019,31.7,Never
2020,27.7,Never
2011,27.1,Mainly
2012,27.3,Mainly
2013,27.1,Mainly
2014,27.2,Mainly
2015,27.1,Mainly
2016,27.8,Mainly
2017,26.4,Mainly
2018,27.7,Mainly
2019,28.1,Mainly
2020,28.8,Mainly
2011,40.2,Recently
2012,41.2,Recently
2013,41.4,Recently
2014,40,Recently
2015,40.6,Recently
2016,40.3,Recently
2017,40,Recently
2018,39.1,Recently
2019,39.5,Recently
2020,37,Recently
2011,34,Occasionally
2012,33.9,Occasionally
2013,33.8,Occasionally
2014,34.7,Occasionally
2015,34.1,Occasionally
2016,33.6,Occasionally
2017,32.7,Occasionally
2018,33.4,Occasionally
2019,33.6,Occasionally
2020,26.8,Occasionally
2011,34.4,Any work from home
2012,34.7,Any work from home
2013,34.7,Any work from home
2014,34.9,Any work from home
2015,34.6,Any work from home
2016,34.3,Any work from home
2017,33.4,Any work from home
2018,33.8,Any work from home
2019,34.3,Any work from home
2020,32.3,Any work from home
