"Figure 1: People who did some work from home were equally likely to work more or fewer hours than usual",""
"Hours worked rates for homeworkers (aged 16 years and over), UK, April 2020",""
"",""
"Notes","1. A homeworker refers to a person who did any working from home in the reference week. 
2. More, less and same hours are calculated based on the difference between respondents actual and usual hours worked in the reference week. "
"Unit","%"
"",""
"","Hours Worked (%)"
"More hours than usual"," 30.3 "
"Less hours than usual"," 34.4 "
"Same hours as usual"," 35.2 "
