"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",2.538496,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",-0.267125,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.206308,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.004076,"E"
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",0.973291,"E"
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",-2.935432,"E"
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",1.417601,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",-0.122908,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.351883,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.58925,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",-0.190841,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",2.753462,
"BEL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",1.547212,
"BEL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.097921,
"BEL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",-0.194784,
"BEL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.204567,
"BEL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",0.441012,
"CAN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",-0.265081,
"CAN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.163681,
"CAN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.782451,
"CAN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.319317,
"CAN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",0.91764,
"CAN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",7.4397,
"CZE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",5.229985,
"CZE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",-0.351676,
"CZE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",3.425115,
"CZE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",1.371441,
"CZE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",2.699721,
"CZE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",0.433336,
"DNK","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",1.427971,
"DNK","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",1.19061,
