"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2015-Q1",0.999471184894282,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2015-Q2",0.997507059498336,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2015-Q3",1.00411618490306,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2015-Q4",0.998904138127241,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2016-Q1",1.00396397039975,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2016-Q2",1.00894399173193,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2016-Q3",1.00878776636428,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2016-Q4",1.01648620993244,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2017-Q1",1.01351039927486,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2017-Q2",1.00903668249762,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2017-Q3",1.01036698503503,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2017-Q4",1.00974573435326,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2018-Q1",1.01160795692095,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2018-Q2",1.01416375902728,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2018-Q3",1.01239648769082,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2018-Q4",1.01114299619478,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2019-Q1",1.00890673678889,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2019-Q2",1.00602028316317,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2019-Q3",1.00659099152689,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2019-Q4",1.01330184501606,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2020-Q1",1.00368990600952,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2020-Q2",0.983424229377571,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2020-Q3",0.995393943712514,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2020-Q4",1.01165336812446,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2021-Q1",1.00780028199639,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2021-Q2",1.0134760244119,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2021-Q3",1.01827985697359,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","Q","2021-Q4",1.02245099731491,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2015-Q1",0.997138392282655,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2015-Q2",1.0012029604331,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2015-Q3",1.00001426800837,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2015-Q4",1.00162760991561,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2016-Q1",0.999484913149562,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2016-Q2",1.00144362242038,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2016-Q3",0.99866307836402,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2016-Q4",1.00090576274876,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2017-Q1",1.00390463670261,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2017-Q2",1.00036679115205,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2017-Q3",0.997074493624997,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2017-Q4",1.00129640894948,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2018-Q1",1.00145140750454,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2018-Q2",1.00247699200458,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2018-Q3",1.00310527767848,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2018-Q4",1.00818617885393,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2019-Q1",1.00533831201775,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2019-Q2",1.00494608304804,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2019-Q3",1.00574076174266,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2019-Q4",1.0077178216805,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2020-Q1",0.976629549916825,
