"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","IDX2015","A","2016",99.732875,
"AUS","GDPHRWKD","TOT","IDX2015","A","2017",100.935961,
"AUS","GDPHRWKD","TOT","IDX2015","A","2018",100.940075,"E"
"AUS","GDPHRWKD","TOT","IDX2015","A","2019",101.922515,"E"
"AUS","GDPHRWKD","TOT","IDX2015","A","2020",98.930649,"E"
"AUT","GDPHRWKD","TOT","IDX2015","A","2016",99.877092,
"AUT","GDPHRWKD","TOT","IDX2015","A","2017",101.227314,
"AUT","GDPHRWKD","TOT","IDX2015","A","2018",101.823796,
"AUT","GDPHRWKD","TOT","IDX2015","A","2019",101.629474,
"AUT","GDPHRWKD","TOT","IDX2015","A","2020",104.427804,
"BEL","GDPHRWKD","TOT","IDX2015","A","2016",100.097921,
"BEL","GDPHRWKD","TOT","IDX2015","A","2017",99.902947,
"BEL","GDPHRWKD","TOT","IDX2015","A","2018",100.107315,
"BEL","GDPHRWKD","TOT","IDX2015","A","2019",100.5488,
"CAN","GDPHRWKD","TOT","IDX2015","A","2016",100.163681,
"CAN","GDPHRWKD","TOT","IDX2015","A","2017",101.94905,
"CAN","GDPHRWKD","TOT","IDX2015","A","2018",102.274591,
"CAN","GDPHRWKD","TOT","IDX2015","A","2019",103.213104,
"CAN","GDPHRWKD","TOT","IDX2015","A","2020",110.891849,
"CZE","GDPHRWKD","TOT","IDX2015","A","2016",99.648324,
"CZE","GDPHRWKD","TOT","IDX2015","A","2017",103.061394,
"CZE","GDPHRWKD","TOT","IDX2015","A","2018",104.47482,
"CZE","GDPHRWKD","TOT","IDX2015","A","2019",107.295349,
"CZE","GDPHRWKD","TOT","IDX2015","A","2020",107.760298,
"DNK","GDPHRWKD","TOT","IDX2015","A","2016",101.19061,
"DNK","GDPHRWKD","TOT","IDX2015","A","2017",103.081941,
"DNK","GDPHRWKD","TOT","IDX2015","A","2018",105.350786,
"DNK","GDPHRWKD","TOT","IDX2015","A","2019",106.869184,
"DNK","GDPHRWKD","TOT","IDX2015","A","2020",107.688008,
"FIN","GDPHRWKD","TOT","IDX2015","A","2016",102.349147,
"FIN","GDPHRWKD","TOT","IDX2015","A","2017",104.924754,
"FIN","GDPHRWKD","TOT","IDX2015","A","2018",103.899638,
"FIN","GDPHRWKD","TOT","IDX2015","A","2019",103.842218,
"FIN","GDPHRWKD","TOT","IDX2015","A","2020",103.011826,
"FRA","GDPHRWKD","TOT","IDX2015","A","2016",100.279427,
"FRA","GDPHRWKD","TOT","IDX2015","A","2017",102.395091,
"FRA","GDPHRWKD","TOT","IDX2015","A","2018",102.814627,
"FRA","GDPHRWKD","TOT","IDX2015","A","2019",103.215736,
"FRA","GDPHRWKD","TOT","IDX2015","A","2020",103.498196,
"DEU","GDPHRWKD","TOT","IDX2015","A","2016",101.355337,
