,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Description:,Whole Economy,"Agriculture, forestry and fishing","Manufacture of food products, beverages and tobacco","Manufacture of textiles, wearing apparel and leather products","Manufacture of wood and paper products, and printing","Manufacture of coke, and refined petroleum products",Manufacture of basic pharmaceutical products and pharmaceutical preparations,"Electricity, gas, steam and air conditioning supply",Construction of buildings,"Retail trade, except of motor vehicles and motorcycles",Food and beverage service activities,"Motion picture, video & TV programme production, sound recording & music publishing activities","Computer programming, consultancy and related activities",Information service activities,"Financial service activities, except insurance and pension funding","Insurance, reinsurance and pension funding, except compulsory social security",Legal and accounting activities,Scientific research and development,"Office administrative, office support and other business support activities",Education,Human health activities
1997 Q1,77.7,43.8,67.4,10.2,29.6,123.6,64.9,89.3,125.5,92.6,117.1,75.6,53.3,166.7,72.2,180.9,75.3,242.4,97.4,138.3,98.3
1997 Q2,77.9,45.2,67.4,10.2,29.7,117.7,63.1,94.6,131.5,92.0,119.6,74.6,54.6,156.3,67.1,178.5,74.0,227.6,103.9,133.6,99.9
1997 Q3,78.2,44.5,68.5,10.1,30.5,117.1,61.0,94.3,129.6,92.3,116.2,60.7,56.5,156.0,66.6,174.7,73.8,205.9,111.9,136.1,99.8
1997 Q4,79.1,46.7,69.0,10.1,32.8,119.2,62.6,104.5,129.5,94.0,121.4,66.5,61.1,168.0,60.4,170.3,72.8,196.8,117.2,137.2,99.7
1998 Q1,79.4,46.5,68.8,9.9,33.0,124.1,60.7,99.0,135.4,93.7,121.8,62.8,60.9,163.0,75.4,160.8,73.4,201.3,102.3,139.2,102.2
1998 Q2,79.8,51.9,69.8,10.0,33.5,144.2,59.9,105.7,132.3,92.9,123.3,62.0,64.0,164.7,72.9,156.0,76.8,191.1,114.0,139.9,99.8
1998 Q3,79.9,58.1,68.1,10.5,33.6,119.7,62.5,116.5,134.1,91.0,123.9,56.7,67.8,154.8,72.7,151.8,80.6,204.4,101.1,141.9,100.0
1998 Q4,81.0,65.8,69.9,11.1,34.7,128.1,62.1,129.8,136.0,90.0,127.7,68.5,72.4,156.1,69.7,148.5,83.7,207.2,106.4,139.9,99.1
1999 Q1,81.1,78.8,71.9,11.9,36.2,106.3,61.5,155.8,143.0,87.8,125.2,67.8,68.6,150.6,69.0,150.0,80.8,206.4,102.1,138.1,97.7
1999 Q2,81.2,62.7,70.9,11.7,38.4,92.1,67.2,162.5,142.6,88.7,123.3,67.2,64.0,141.7,66.6,151.9,79.4,203.4,95.6,136.0,97.4
1999 Q3,82.0,60.9,71.0,12.4,38.0,90.4,71.5,152.4,145.6,89.9,123.3,76.5,67.2,161.5,64.9,147.8,79.5,196.9,93.1,133.5,96.9
1999 Q4,82.8,72.6,71.2,13.0,37.5,94.9,77.6,140.6,146.5,92.3,127.8,81.7,68.2,142.8,68.1,149.1,80.8,189.2,99.4,135.2,98.2
2000 Q1,84.8,89.0,72.8,13.3,38.9,111.2,76.3,136.0,153.3,96.9,134.4,79.7,69.1,164.8,69.7,157.0,83.1,176.7,83.3,134.1,99.9
2000 Q2,84.4,67.5,72.7,14.2,38.5,116.2,79.0,139.3,144.3,96.4,126.3,79.9,73.8,177.0,68.6,146.7,84.3,166.3,87.0,131.5,99.2
2000 Q3,84.8,72.8,76.2,14.7,39.5,109.6,75.6,139.7,138.7,95.3,126.5,79.3,72.7,178.8,69.9,130.4,80.1,155.5,93.4,131.9,97.4
2000 Q4,84.5,96.0,76.9,15.1,40.3,108.1,78.9,143.6,142.6,92.3,121.4,70.8,73.0,169.1,67.9,100.4,80.0,153.9,94.3,131.4,99.8
2001 Q1,85.4,179.0,75.8,15.6,41.3,88.0,80.8,165.2,142.6,92.4,125.0,73.5,75.3,163.7,70.5,74.3,79.3,151.3,96.9,134.5,104.1
2001 Q2,85.1,101.1,74.1,16.7,41.6,78.0,83.7,177.9,141.9,91.9,127.9,68.9,76.4,153.4,70.9,65.3,79.8,158.1,101.0,130.5,106.4
2001 Q3,85.5,53.5,73.7,18.0,43.0,91.1,86.3,175.2,140.0,90.3,125.3,67.9,76.0,163.4,74.0,64.5,80.0,164.4,100.5,132.1,107.0
2001 Q4,85.9,31.0,77.1,18.5,43.1,101.5,92.7,157.5,143.2,91.9,125.4,72.3,77.5,162.7,77.8,61.8,80.7,174.1,93.6,130.1,105.9
