Subject,Category,Year,Year Group,Attainment
Mathematics,All pupils,2018/19,Year 3,561
Mathematics,All pupils,2018/19,Year 4,636
Mathematics,All pupils,2018/19,Year 5,709
Mathematics,All pupils,2018/19,Year 6,765
Mathematics,All pupils,2020/21,Year 3,556
Mathematics,All pupils,2020/21,Year 4,620
Mathematics,All pupils,2020/21,Year 5,691
Mathematics,All pupils,2020/21,Year 6,745
Mathematics,Male,2018/19,Year 3,565
Mathematics,Male,2018/19,Year 4,644
Mathematics,Male,2018/19,Year 5,717
Mathematics,Male,2018/19,Year 6,766
Mathematics,Male,2020/21,Year 3,562
Mathematics,Male,2020/21,Year 4,628
Mathematics,Male,2020/21,Year 5,696
Mathematics,Male,2020/21,Year 6,750
Mathematics,Female,2018/19,Year 3,558
Mathematics,Female,2018/19,Year 4,628
Mathematics,Female,2018/19,Year 5,702
Mathematics,Female,2018/19,Year 6,763
Mathematics,Female,2020/21,Year 3,551
Mathematics,Female,2020/21,Year 4,612
Mathematics,Female,2020/21,Year 5,686
Mathematics,Female,2020/21,Year 6,740
Mathematics,Non-FSM Ever 6,2018/19,Year 3,571
Mathematics,Non-FSM Ever 6,2018/19,Year 4,645
Mathematics,Non-FSM Ever 6,2018/19,Year 5,717
Mathematics,Non-FSM Ever 6,2018/19,Year 6,780
Mathematics,Non-FSM Ever 6,2020/21,Year 3,564
Mathematics,Non-FSM Ever 6,2020/21,Year 4,629
Mathematics,Non-FSM Ever 6,2020/21,Year 5,702
Mathematics,Non-FSM Ever 6,2020/21,Year 6,756
Mathematics,FSM Ever 6,2018/19,Year 3,532
Mathematics,FSM Ever 6,2018/19,Year 4,609
Mathematics,FSM Ever 6,2018/19,Year 5,692
Mathematics,FSM Ever 6,2018/19,Year 6,737
Mathematics,FSM Ever 6,2020/21,Year 3,528
Mathematics,FSM Ever 6,2020/21,Year 4,585
Mathematics,FSM Ever 6,2020/21,Year 5,655
Mathematics,FSM Ever 6,2020/21,Year 6,716
Reading,All pupils,2018/19,Year 3,402
Reading,All pupils,2018/19,Year 4,470
Reading,All pupils,2018/19,Year 5,559
Reading,All pupils,2018/19,Year 6,647
Reading,All pupils,2020/21,Year 3,400
Reading,All pupils,2020/21,Year 4,469
Reading,All pupils,2020/21,Year 5,557
Reading,All pupils,2020/21,Year 6,641
Reading,Male,2018/19,Year 3,394
Reading,Male,2018/19,Year 4,461
Reading,Male,2018/19,Year 5,551
Reading,Male,2018/19,Year 6,635
Reading,Male,2020/21,Year 3,397
Reading,Male,2020/21,Year 4,464
Reading,Male,2020/21,Year 5,554
Reading,Male,2020/21,Year 6,635
Reading,Female,2018/19,Year 3,410
Reading,Female,2018/19,Year 4,479
Reading,Female,2018/19,Year 5,568
Reading,Female,2018/19,Year 6,658
Reading,Female,2020/21,Year 3,404
Reading,Female,2020/21,Year 4,474
Reading,Female,2020/21,Year 5,561
Reading,Female,2020/21,Year 6,648
Reading,Non-FSM Ever 6,2018/19,Year 3,411
Reading,Non-FSM Ever 6,2018/19,Year 4,485
Reading,Non-FSM Ever 6,2018/19,Year 5,581
Reading,Non-FSM Ever 6,2018/19,Year 6,674
Reading,Non-FSM Ever 6,2020/21,Year 3,410
Reading,Non-FSM Ever 6,2020/21,Year 4,485
Reading,Non-FSM Ever 6,2020/21,Year 5,577
Reading,Non-FSM Ever 6,2020/21,Year 6,665
Reading,FSM Ever 6,2018/19,Year 3,365
Reading,FSM Ever 6,2018/19,Year 4,426
Reading,FSM Ever 6,2018/19,Year 5,506
Reading,FSM Ever 6,2018/19,Year 6,586
Reading,FSM Ever 6,2020/21,Year 3,358
Reading,FSM Ever 6,2020/21,Year 4,416
Reading,FSM Ever 6,2020/21,Year 5,500
Reading,FSM Ever 6,2020/21,Year 6,580
