Year,Title,Category,Value
2017 Q1,Whole Economy,Whole Economy,98.3
2017 Q2,Whole Economy,Whole Economy,98.1
2017 Q3,Whole Economy,Whole Economy,99.5
2017 Q4,Whole Economy,Whole Economy,99.6
2018 Q1,Whole Economy,Whole Economy,99.1
2018 Q2,Whole Economy,Whole Economy,99.6
2018 Q3,Whole Economy,Whole Economy,99.5
2018 Q4,Whole Economy,Whole Economy,100.1
2019 Q1,Whole Economy,Whole Economy,99.6
2019 Q2,Whole Economy,Whole Economy,99.8
2019 Q3,Whole Economy,Whole Economy,100.2
2019 Q4,Whole Economy,Whole Economy,100.4
2020 Q1,Whole Economy,Whole Economy,99.4
2020 Q2,Whole Economy,Whole Economy,97.5
2020 Q3,Whole Economy,Whole Economy,105.5
2020 Q4,Whole Economy,Whole Economy,101
2021 Q1,Whole Economy,Whole Economy,101.6
2021 Q2,Whole Economy,Whole Economy,101.7
2017 Q1,"Agriculture, forestry and fishing",Agriculture,107.7
2017 Q2,"Agriculture, forestry and fishing",Agriculture,102.6
2017 Q3,"Agriculture, forestry and fishing",Agriculture,87
2017 Q4,"Agriculture, forestry and fishing",Agriculture,70
2018 Q1,"Agriculture, forestry and fishing",Agriculture,77.3
2018 Q2,"Agriculture, forestry and fishing",Agriculture,86.1
2018 Q3,"Agriculture, forestry and fishing",Agriculture,89.8
2018 Q4,"Agriculture, forestry and fishing",Agriculture,84.4
2019 Q1,"Agriculture, forestry and fishing",Agriculture,91.6
2019 Q2,"Agriculture, forestry and fishing",Agriculture,94
2019 Q3,"Agriculture, forestry and fishing",Agriculture,103.8
2019 Q4,"Agriculture, forestry and fishing",Agriculture,110.6
2020 Q1,"Agriculture, forestry and fishing",Agriculture,102.2
2020 Q2,"Agriculture, forestry and fishing",Agriculture,86
2020 Q3,"Agriculture, forestry and fishing",Agriculture,91.3
2020 Q4,"Agriculture, forestry and fishing",Agriculture,97.4
2021 Q1,"Agriculture, forestry and fishing",Agriculture,95.6
2021 Q2,"Agriculture, forestry and fishing",Agriculture,102.5
2017 Q1,"Manufacture of food products, beverages and tobacco",Manufacturing,89.1
2017 Q2,"Manufacture of food products, beverages and tobacco",Manufacturing,89.5
2017 Q3,"Manufacture of food products, beverages and tobacco",Manufacturing,88.8
2017 Q4,"Manufacture of food products, beverages and tobacco",Manufacturing,89.8
2018 Q1,"Manufacture of food products, beverages and tobacco",Manufacturing,94.3
2018 Q2,"Manufacture of food products, beverages and tobacco",Manufacturing,97.5
2018 Q3,"Manufacture of food products, beverages and tobacco",Manufacturing,100.1
2018 Q4,"Manufacture of food products, beverages and tobacco",Manufacturing,101.9
2019 Q1,"Manufacture of food products, beverages and tobacco",Manufacturing,100.6
2019 Q2,"Manufacture of food products, beverages and tobacco",Manufacturing,96.6
2019 Q3,"Manufacture of food products, beverages and tobacco",Manufacturing,97
2019 Q4,"Manufacture of food products, beverages and tobacco",Manufacturing,105.8
2020 Q1,"Manufacture of food products, beverages and tobacco",Manufacturing,104.9
2020 Q2,"Manufacture of food products, beverages and tobacco",Manufacturing,104.7
2020 Q3,"Manufacture of food products, beverages and tobacco",Manufacturing,108.5
2020 Q4,"Manufacture of food products, beverages and tobacco",Manufacturing,103.7
2021 Q1,"Manufacture of food products, beverages and tobacco",Manufacturing,107
2021 Q2,"Manufacture of food products, beverages and tobacco",Manufacturing,106.1
2017 Q1,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,84
2017 Q2,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,86.7
2017 Q3,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,88.4
2017 Q4,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,93.7
2018 Q1,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,89.9
2018 Q2,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,93.5
2018 Q3,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,102
2018 Q4,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,102.2
2019 Q1,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,99
2019 Q2,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,101.3
2019 Q3,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,100.5
2019 Q4,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,99.2
2020 Q1,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,92.5
2020 Q2,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,72.2
2020 Q3,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,136
2020 Q4,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,121.1
2021 Q1,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,116.1
2021 Q2,"Manufacture of textiles, wearing apparel and leather products",Manufacturing,127.9
2017 Q1,"Manufacture of wood and paper products, and printing",Manufacturing,89.9
2017 Q2,"Manufacture of wood and paper products, and printing",Manufacturing,86.6
2017 Q3,"Manufacture of wood and paper products, and printing",Manufacturing,88.2
2017 Q4,"Manufacture of wood and paper products, and printing",Manufacturing,89.9
2018 Q1,"Manufacture of wood and paper products, and printing",Manufacturing,87.4
2018 Q2,"Manufacture of wood and paper products, and printing",Manufacturing,91.8
2018 Q3,"Manufacture of wood and paper products, and printing",Manufacturing,90.9
2018 Q4,"Manufacture of wood and paper products, and printing",Manufacturing,94.3
2019 Q1,"Manufacture of wood and paper products, and printing",Manufacturing,97.7
2019 Q2,"Manufacture of wood and paper products, and printing",Manufacturing,101.3
2019 Q3,"Manufacture of wood and paper products, and printing",Manufacturing,99.1
2019 Q4,"Manufacture of wood and paper products, and printing",Manufacturing,101.8
2020 Q1,"Manufacture of wood and paper products, and printing",Manufacturing,102.8
2020 Q2,"Manufacture of wood and paper products, and printing",Manufacturing,106.3
2020 Q3,"Manufacture of wood and paper products, and printing",Manufacturing,129.6
2020 Q4,"Manufacture of wood and paper products, and printing",Manufacturing,115.5
2021 Q1,"Manufacture of wood and paper products, and printing",Manufacturing,109.4
2021 Q2,"Manufacture of wood and paper products, and printing",Manufacturing,109.6
2017 Q1,"Manufacture of coke, and refined petroleum products",Manufacturing,164.9
2017 Q2,"Manufacture of coke, and refined petroleum products",Manufacturing,123
2017 Q3,"Manufacture of coke, and refined petroleum products",Manufacturing,106.7
2017 Q4,"Manufacture of coke, and refined petroleum products",Manufacturing,84.8
2018 Q1,"Manufacture of coke, and refined petroleum products",Manufacturing,77.8
2018 Q2,"Manufacture of coke, and refined petroleum products",Manufacturing,85.3
2018 Q3,"Manufacture of coke, and refined petroleum products",Manufacturing,78.6
2018 Q4,"Manufacture of coke, and refined petroleum products",Manufacturing,76.8
2019 Q1,"Manufacture of coke, and refined petroleum products",Manufacturing,84.3
