,Country,Last,Previous,Reference,Unit
0,Ireland,139.0,134.0,Jun/21,points
1,Romania,134.0,135.0,Jun/21,points
2,Taiwan,133.0,125.0,Sep/21,points
3,New Zealand,132.0,130.0,Jun/21,points
4,Estonia,126.0,124.0,Jun/21,points
5,Mauritius,121.0,135.0,Dec/20,points
6,Lithuania,120.0,121.0,Jun/21,points
7,Bulgaria,118.0,116.0,Jun/21,points
8,Latvia,118.0,123.0,Jun/21,points
9,South Korea,117.0,119.0,Jun/21,points
10,Slovenia,116.0,112.0,Jun/21,points
11,Poland,115.0,116.0,Jun/21,points
12,Slovakia,115.0,116.0,Jun/21,points
13,Thailand,114.0,122.0,Jun/21,points
14,Denmark,113.0,114.0,Jun/21,points
15,Hungary,113.0,112.0,Jun/21,points
16,Norway,113.0,111.0,Sep/21,points
17,United States,111.0,113.0,Sep/21,points
18,Canada,111.0,110.0,Jun/21,points
19,Czech Republic,108.0,110.0,Jun/21,points
20,Croatia,108.0,109.0,Sep/21,points
21,Greece,108.0,104.0,Jun/21,points
22,Hong Kong,107.0,106.0,Dec/20,points
23,Cyprus,107.0,106.0,Jun/21,points
24,Finland,107.0,106.0,Sep/21,points
25,Luxembourg,107.0,108.0,Jun/21,points
26,Switzerland,107.0,105.0,Jun/21,points
27,Sweden,106.0,105.0,Jun/21,points
28,European Union,105.0,105.0,Jun/21,points
29,Euro Area,104.0,105.0,Jun/21,points
30,Netherlands,104.0,103.0,Sep/21,points
31,Austria,102.0,102.0,Jun/21,points
32,Australia,102.0,103.0,Jun/21,points
33,United Kingdom,102.0,102.0,Jun/21,points
34,France,101.0,99.87,Jun/21,points
35,Portugal,98.8,102.0,Jun/21,points
36,Spain,98.3,98.7,Sep/21,points
37,Belgium,98.0,97.0,Jun/21,points
38,Japan,96.8,97.9,Aug/21,points
39,Malta,96.2,93.5,Jun/21,points
40,Germany,95.5,96.8,Sep/21,points
41,Singapore,94.2,104.0,Jun/21,points
42,Mexico,90.7,93.5,Sep/21,points
43,Brazil,88.49,89.64,Sep/21,points
